gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,Control10_mean_psi,TDP43KD10_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,seqid,strand,junctions_coords,exons_coords,ir_coords,ucsc_lsv_link
STPG1,ENSG00000001460.18,ENSG00000001460.18:t:24383867-24384003,-0.1229;0.1229,5.574e-01;5.574e-01,4.776e-02;4.776e-02,0.2046;0.7954,0.0573;0.9427,t|1e1.1o1|1e2.1o1,2,3,0;0,chr1,-,24384003-24401319;24384003-24391561,24383867-24384003;24391203-24391679;24401079-24401456,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A24401456-24383867
KRIT1,ENSG00000001631.16,ENSG00000001631.16:s:92244902-92245171,0.1285;-0.1285,6.669e-01;6.669e-01,3.373e-02;3.373e-02,0.5525;0.4475,0.7099;0.2901,s|1e1.1o1|1e2.2o2,2,3,0;0,chr7,-,92244149-92244902;92242137-92244902,92242034-92242161;92244002-92244149;92244902-92245171,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A92245171-92242034
CFLAR,ENSG00000003402.20,ENSG00000003402.20:t:201129643-201130146,0.1250;0.0000;0.0000;-0.1185;0.0000;0.0000;0.0000,6.485e-01;3.572e-06;3.572e-06;6.091e-01;3.572e-06;3.572e-06;3.572e-06,3.786e-02;9.987e-01;9.987e-01;4.663e-02;9.987e-01;9.987e-01;9.987e-01,0.8300;0.0018;0.0018;0.1613;0.0018;0.0018;0.0018,0.9876;0.0021;0.0021;0.0021;0.0021;0.0021;0.0021,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1,7,8,0;0;0;0;0;1;0,chr2,+,201116481-201129729;201116967-201129729;201117142-201129729;201118901-201129729;201122747-201129729;201129101-201129729;201129520-201129729,na-201129101;201116154-201116481;201116837-201116967;201117039-201117142;201118491-201118901;201122477-201122747;201129329-201129520;201129643-201130146,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A201130146-201116154
NDUFAF7,ENSG00000003509.16,ENSG00000003509.16:s:37241578-37241791,-0.0043;0.1042;-0.0474;-0.0079,3.192e-04;5.345e-01;1.951e-01;9.158e-04,8.486e-01;6.475e-02;2.356e-01;7.099e-01,0.0386;0.1621;0.7572;0.0517,0.0049;0.2874;0.6798;0.0332,s|1e1.1o1|1e2.1o2|2e1.1o1|2e2.1o2,4,3,0;0;0;1,chr2,+,37241637-37242635;37241637-37243863;37241791-37242635;37241791-37243863,37241578-37241791;37242635-37242693;37243863-37243973,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A37243973-37241578
NDUFAF7,ENSG00000003509.16,ENSG00000003509.16:t:37243863-37243973,0.1323;-0.0087;-0.1202;0.0000,7.029e-01;2.881e-03;6.233e-01;4.479e-08,2.821e-02;6.679e-01;4.131e-02;9.980e-01,0.1733;0.0550;0.7674;0.0053,0.3260;0.0385;0.6287;0.0101,t|1e1.1o2|1e1.2o2|1e2.1o1|2e2.1o1,4,3,0;1;0;0,chr2,+,37241637-37243863;37241791-37243863;37242693-37243863;37242693-37243911,37241578-37241791;37242635-37242693;37243863-37243973,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A37243973-37241578
SLC7A2,ENSG00000003989.18,ENSG00000003989.18:t:17543318-17543715,-0.1938;0.2136;-0.0028,7.629e-01;8.100e-01;2.971e-03,1.242e-02;8.642e-03;8.683e-01,0.3762;0.5949;0.0232,0.1367;0.8565;0.0069,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chr8,+,17497237-17543318;17502302-17543318;17538922-17543318,17497088-17497237;17502257-17502302;17538777-17538922;17543318-17543715,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A17543715-17497088
RECQL,ENSG00000004700.16,ENSG00000004700.16:s:21501413-21501669,-0.0030;0.0331;-0.1783;-0.0658;0.0388;0.1912;-0.0103,3.316e-04;3.474e-02;8.357e-01;3.537e-01;1.568e-01;9.026e-01;3.971e-02,8.862e-01;4.682e-01;9.394e-03;1.281e-01;2.758e-01;4.691e-03;5.145e-01,0.0320;0.0080;0.3622;0.2078;0.1402;0.0994;0.1492,0.0054;0.0702;0.1593;0.1160;0.1960;0.2976;0.1271,s|1e1.1o2|1e1.2o2|2e1.1o2|2e1.2o2|2e2.1o1|3e1.2o2|3e2.1o1,7,3,0;0;0;0;0;0;0,chr12,-,21501372-21501481;21501215-21501481;21501372-21501463;21501215-21501463;21499615-21501463;21501215-21501413;21499615-21501413,21499555-21499615;21501170-21501372;21501413-21501669,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A21501669-21499555
SPPL2B,ENSG00000005206.17,ENSG00000005206.17:s:2328615-2328775,-0.0001;-0.0997;0.1047,9.645e-06;4.878e-01;5.224e-01,9.967e-01;7.814e-02;6.734e-02,0.0050;0.1390;0.8559,0.0033;0.0033;0.9935,s|1e3.1o1|2e1.1o1|2e2.1o1,3,4,0;0;0,chr19,+,2328721-2338051;2328775-2330297;2328775-2334602,2328615-2328775;2330297-2330419;2334602-2334721;2338051-2338526,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A2338526-2328615
SPPL2B,ENSG00000005206.17,ENSG00000005206.17:t:2334602-2334721,0.1199;-0.1199,6.055e-01;6.055e-01,4.532e-02;4.532e-02,0.8347;0.1653,0.9951;0.0049,t|1e1.2o2|1e2.2o2,2,3,0;0,chr19,+,2328775-2334602;2330419-2334602,2328615-2328775;2330297-2330419;2334602-2334721,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A2334721-2328615
COPZ2,ENSG00000005243.10,ENSG00000005243.10:s:48028472-48028560,0.1353;-0.1353,5.629e-01;5.629e-01,3.523e-02;3.523e-02,0.6319;0.3681,0.8051;0.1949,s|1e1.1o1|1e2.1o1,2,3,0;0,chr17,-,48027789-48028472;48026475-48028472,48026167-48026475;48027676-48027789;48028472-48028560,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A48028560-48026167
