# {
#     "changing_threshold": 0.1,
#     "command": "/SAN/vyplab/alb_projects/pipelines/splicing/env/bin/voila tsv /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/builder/splicegraph.sql /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi/Control1-TDP43KD1.deltapsi.voila -f /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi_voila_tsv/Control1-TDP43KD1.psi.tsv --threshold 0.1",
#     "group_sizes": {
#         "Control1": 4,
#         "TDP43KD1": 4
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.3"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	Control1_mean_psi	TDP43KD1_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
RAD52	ENSG00000002016.18	ENSG00000002016.18:t:913892-914198	0.0044;0.1361;-0.1449	7.298e-02;5.842e-01;6.319e-01	4.231e-01;3.454e-02;2.974e-02	0.0754;0.6135;0.3074	0.0796;0.7938;0.1212	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	1;0;0	chr12	-	914121-916344;914121-914431;914121-914411	913892-914198;914411-914532;916206-916582		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A916582-913892
ICA1	ENSG00000003147.19	ENSG00000003147.19:t:8235910-8236005	0.1032;-0.0000;-0.0864;-0.0064;-0.0027;0.0000;0.0000;0.0078;0.0000;-0.0056;-0.0000;0.0000	5.287e-01;6.846e-21;3.823e-01;1.629e-06;1.549e-07;6.845e-21;6.845e-21;2.834e-05;6.845e-21;2.602e-05;6.845e-21;6.845e-21	5.585e-02;9.999e-01;1.151e-01;7.563e-01;9.012e-01;1.000e+00;1.000e+00;7.735e-01;1.000e+00;7.456e-01;1.000e+00;1.000e+00	0.3702;0.0185;0.3599;0.0457;0.0367;0.0030;0.0001;0.0544;0.0015;0.0930;0.0080;0.0028	0.4813;0.0137;0.2690;0.0390;0.0099;0.0028;0.0001;0.0746;0.0118;0.0865;0.0102;0.0020	t|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o2|1e6.2o2|2e1.2o2|2e2.1o1|2e3.1o1|2e4.1o1|2e5.1o1	12	7	0;1;0;0;1;0;0;0;1;1;0;1	chr7	-	8236005-8262440;8236005-8262327;8236005-8262094;8236005-8262000;8236005-8261637;8236005-8236810;8236005-8236806;8235940-8262440;8235940-8262327;8235940-8262094;8235940-8262000;8235940-8261637	8235910-8236005;8236806-8236894;8261637-8261651;8262000-8262089;8262094-8262273;8262327-8262405;8262440-8262687		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A8262687-8235910
NDUFAF7	ENSG00000003509.16	ENSG00000003509.16:s:37241578-37241791	-0.0060;0.1042;-0.0354;-0.0264	4.685e-03;5.297e-01;1.501e-01;1.472e-02	6.917e-01;6.424e-02;2.867e-01;5.385e-01	0.0708;0.1980;0.6598;0.0615	0.0581;0.3258;0.6045;0.0054	s|1e1.1o1|1e2.1o2|2e1.1o1|2e2.1o2	4	3	0;0;0;1	chr2	+	37241637-37242635;37241637-37243863;37241791-37242635;37241791-37243863	37241578-37241791;37242635-37242693;37243863-37243973		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A37243973-37241578
NDUFAF7	ENSG00000003509.16	ENSG00000003509.16:t:37243863-37243973	0.1100;-0.0217;-0.0529;0.0000	5.781e-01;6.040e-03;2.262e-01;9.145e-09	5.225e-02;5.890e-01;2.089e-01;9.994e-01	0.1928;0.0574;0.7437;0.0009	0.3186;0.0056;0.6665;0.0051	t|1e1.1o2|1e1.2o2|1e2.1o1|2e2.1o1	4	3	0;1;0;0	chr2	+	37241637-37243863;37241791-37243863;37242693-37243863;37242693-37243911	37241578-37241791;37242635-37242693;37243863-37243973		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A37243973-37241578
RBM5	ENSG00000003756.17	ENSG00000003756.17:s:50102337-50103166	0.1069;-0.0900;-0.0120	5.494e-01;4.192e-01;1.215e-03	6.173e-02;1.077e-01;6.629e-01	0.7802;0.1573;0.0598	0.8979;0.0638;0.0417	s|1e1.1o1|1e2.1o1|i	3	3	0;0;1	chr3	+	50103166-50104248;50103166-50105077;50103167-50104247	50102337-50103166;50104248-50104308;50104577-50105142	50103167-50104247	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50105142-50102337
MTMR7	ENSG00000003987.14	ENSG00000003987.14:t:17341363-17341497	0.1136;-0.1136	5.744e-01;5.744e-01	4.981e-02;4.981e-02	0.8285;0.1715	0.9492;0.0508	t|1e1.1o1|1e2.1o1	2	3	0;0	chr8	-	17341497-17348953;17341497-17346014	17341363-17341497;17346014-17346159;17348953-17349081		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A17349081-17341363
AK2	ENSG00000004455.17	ENSG00000004455.17:s:33013044-33013402	0.0000;0.0000;-0.0007;0.1322;-0.1165	6.690e-21;6.690e-21;6.980e-21;7.640e-01;6.521e-01	1.000e+00;1.000e+00;9.701e-01;7.030e-03;3.804e-02	0.0010;0.0010;0.0328;0.6510;0.3126	0.0010;0.0024;0.0129;0.7874;0.1961	s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o1|i	5	3	1;1;0;0;0	chr1	-	33012341-33013207;33012142-33013207;33012122-33013207;33010833-33013207;33012358-33013043	33007940-33010833;33012074-33012357;33013044-33013402	33012358-33013043	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A33013402-33007940
AK2	ENSG00000004455.17	ENSG00000004455.17:t:33007940-33010833	0.1233;-0.0378;0.0000;-0.0746	7.024e-01;2.549e-02;6.690e-21;2.958e-01	1.300e-02;4.697e-01;1.000e+00;1.593e-01	0.6631;0.0819;0.0038;0.2547	0.7859;0.0423;0.0002;0.1699	t|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	0;0;0;0	chr1	-	33010833-33013207;33010833-33012074;33010833-33011448;33010834-33011447	33007940-33010833;33011448-33011710;33012074-33012357;33013044-33013402	33010834-33011447	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A33013402-33007940
ARHGAP33	ENSG00000004777.18	ENSG00000004777.18:s:35784172-35784393	0.1293;-0.1293	6.322e-01;6.322e-01	3.721e-02;3.721e-02	0.1792;0.8208	0.3311;0.6689	s|1e1.1o1|1e2.1o1	2	3	0;0	chr19	+	35784317-35784495;35784317-35784953	35784172-35784393;35784495-35784706;35784832-35785106		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A35785106-35784172
DHX33	ENSG00000005100.13	ENSG00000005100.13:s:5468571-5468982	0.1359;-0.1280;-0.0000	7.478e-01;7.001e-01;6.846e-21	2.117e-02;2.867e-02;9.999e-01	0.6650;0.3294;0.0079	0.8145;0.1848;0.0007	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr17	-	5463689-5468571;5462546-5468571;5456182-5468571	5455997-5456182;5462319-5462546;5463529-5463689;5468571-5468982		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A5468982-5455997
